Route,"Mode/
note","Customers per day, Mon-Fri",Vehicles in morning peak period,Vehicles in afternoon peak period,"Hours per day, Mon-Fri","Kilometres per day, Mon-Fri","Cost per day, Mon-Fri"
192 Airport Rocket,,4000,4,6,95,3300,"$16,100"
117 Alness,,2800,4,4,45,750,"$6,500"
99 Arrrow Rd,,130,0,0,13,310,"$1,800"
5 Avenue Rd,,1900,4,3,45,650,"$6,200"
61 Avenue Rd North,,3600,5,4,65,950,"$9,000"
7 Bathurst,,24300,19,22,310,5400,"$44,000"
511 Bathurst,SC,17400,11,11,230,2800,"$41,100"
160 Bathurst North,(1),2500,3,3,45,730,"$6,200"
6 Bay,,7900,22,16,220,2600,"$30,700"
11 Bayview and 28 Davisville,(2),10400,13,11,170,3000,"$24,800"
9 Bellamy,,4100,5,5,75,1600,"$11,300"
17 Birchmount,(1),10900,12,10,150,3400,"$23,600"
49 Bloor West,,3100,4,3,45,880,"$6,900"
21 Brimley,,9500,9,8,130,2700,"$19,300"
8 Broadview,,920,1,1,20,330,"$2,700"
50 Burnhamthorpe,,3100,4,3,50,890,"$7,100"
120 Calvington,,1100,2,2,35,690,"$4,900"
506 Carlton,SC,39600,32,27,450,6500,"$91,100"
126 Christie,,2600,2,2,30,370,"$3,900"
20 Cliffside,,6100,6,6,85,1500,"$12,500"
87 Cosburn,,8200,10,10,120,2100,"$17,700"
22 Coxwell,,7100,3,3,65,930,"$8,600"
42 Cummer ,,7200,15,12,170,3900,"$26,500"
113 Danforth,,4800,4,4,60,960,"$8,300"
127 Davenport,,1600,3,2,45,730,"$6,200"
23 Dawes,,6200,6,5,75,1000,"$10,300"
25 Don Mills,,38000,34,32,440,8500,"$65,400"
108 Downsview,,6400,8,6,100,2200,"$15,600"
101 Downsview Park,,540,1,1,17,290,"$2,400"
502 Downtowner and 503 Kingston Rd ,SC(2),6000,13,13,110,1500,"$27,600"
125 Drewry ,,2900,5,3,50,790,"$7,000"
29 Dufferin,,39700,31,33,520,8500,"$73,200"
105 Dufferin North,(1),2200,2,2,45,900,"$6,300"
505 Dundas,SC,31900,19,20,310,4100,"$60,900"
26 Dupont,,3600,5,6,80,1300,"$11,300"
111 East Mall,,6400,5,6,85,2000,"$13,300"
34 Eglinton East,,29500,26,26,340,5900,"$49,300"
32 Eglinton West,,48700,51,38,610,10400,"$88,400"
15 Evans ,,2700,4,4,55,1100,"$8,200"
104 Faywood,,3300,4,4,65,1300,"$9,300"
"39 Finch East,
139 Finch-Don Mills, and 199 Finch Rocket",(2),44000,67,51,750,17900,"$118,900"
36 Finch West,,44000,35,39,530,10600,"$78,600"
100 Flemingdon Park,,15800,20,14,260,5300,"$39,100"
33 Forest Hill,,620,1,1,13,190,"$1,800"
135 Gerrard,,2400,2,2,35,630,"$4,800"
14 Glencairn ,,2500,3,3,40,660,"$5,900"
122 Graydon Hall,,3900,6,5,75,1500,"$11,200"
31 Greenwood,,3300,2,3,40,550,"$5,600"
38 Highland Creek,,8600,8,10,160,3600,"$23,600"
191 Highway 27 Rocket,,9000,13,16,190,5600,"$31,700"
169 Huntingwood and 10 Van Horne,(2),2700,6,6,85,1600,"$12,500"
37 Islington,(1),17000,20,15,270,5600,"$40,500"
110 Islington South,,9000,10,10,140,2500,"$20,500"
35 Jane,(1),44400,31,32,470,9000,"$68,900"
83 Jones,,2300,3,2,35,530,"$5,100"
40 Junction,,4800,4,4,60,820,"$8,300"
41 Keele,,24600,21,23,330,6200,"$48,100"
107 Keele North,(1),820,5,5,65,1300,"$9,900"
43 Kennedy,,15500,11,13,200,3800,"$29,200"
"504 King and 
508 Lake Shore",SC(2),57300,51,47,640,9100,"$136,800"
12 Kingston Rd,,9600,11,9,150,2600,"$21,300"
45 Kipling,,18900,21,23,280,7000,"$45,200"
44 Kipling South,,9400,10,10,120,2300,"$18,500"
30 Lambton,,2500,3,3,50,910,"$7,000"
47 Lansdowne,,15400,13,10,180,3000,"$25,900"
54 Lawrence East,,36300,41,37,550,11400,"$83,300"
52 Lawrence West,,23000,22,20,290,5300,"$42,300"
56 Leaside,,3400,4,4,55,960,"$8,200"
51 Leslie ,,4100,8,7,100,2200,"$15,300"
64 Main,,6400,4,4,60,790,"$8,200"
58 Malton,(1),17500,16,23,300,6200,"$45,000"
59 Maple Leaf,,2700,6,5,75,1300,"$10,700"
102 Markham Rd,(1),23000,18,19,280,5600,"$41,300"
46 Martin Grove,,6800,9,9,140,3000,"$20,600"
16 McCowan,,9800,8,9,120,2300,"$18,000"
129 McCowan North,(1),14500,11,11,160,3300,"$24,300"
130 Middlefield,,2000,3,3,40,900,"$6,400"
57 Midland,,11900,13,9,150,3100,"$22,500"
132 Milner,,2200,4,3,50,1200,"$7,600"
116 Morningside,,22300,25,26,380,9000,"$58,900"
62 Mortimer,,2900,3,3,45,780,"$6,600"
171 Mt Dennis,,310,1,1,20,410,"$2,900"
74 Mt Pleasant ,,970,2,2,20,290,"$3,200"
103 Mt Pleasant North,,1400,2,2,40,470,"$4,900"
133 Neilson,,9600,8,11,160,3600,"$24,400"
131 Nugget,,6300,12,11,120,2600,"$19,300"
70 O'Connor,,8600,7,7,110,1800,"$15,200"
63 Ossington,,21600,15,15,240,3500,"$33,300"
72 Pape,,8400,7,7,110,1700,"$15,700"
65 Parliament,,4000,2,3,45,520,"$5,700"
67 Pharmacy ,,5300,6,6,85,1700,"$12,900"
167 Pharmacy North ,,1100,2,2,25,520,"$3,900"
66 Prince Edward,,4700,4,4,65,1200,"$9,600"
134 Progress,,8100,7,7,100,2100,"$15,500"
501 Queen,SC,43500,31,34,540,8200,"$107,000"
80 Queensway,,1600,3,3,50,1100,"$7,700"
109 Ranee,,5300,3,5,65,1000,"$8,900"
48 Rathburn,,2500,4,3,50,1200,"$7,800"
161 Rogers Rd,,6600,7,7,110,1800,"$15,900"
82 Rosedale,,1200,1,1,18,310,"$2,500"
73 Royal York,,8300,10,9,150,3300,"$22,300"
76 Royal York South,,10100,11,9,120,2300,"$18,300"
71 Runnymede ,,3600,4,4,70,1200,"$9,800"
86 Scarborough,,16400,28,18,300,6900,"$47,100"
190 Scarborough Centre Rocket ,,10100,10,12,140,2800,"$21,000"
79 Scarlett Rd,,8400,14,11,160,3100,"$24,300"
85 Sheppard East ,,27100,29,28,420,8800,"$63,500"
84 Sheppard West,,15700,18,14,220,4400,"$32,900"
75 Sherbourne ,,5200,6,6,90,1100,"$12,100"
123 Shorncliffe,,5400,5,5,90,1900,"$13,200"
115 Silver Hills,,1000,2,2,30,600,"$4,500"
88 South Leaside,,4100,8,7,95,1600,"$14,000"
510 Spadina and 509 Harbourfront ,SC(2),55400,22,29,450,6200,"$86,400"
78 St Andrews,,1600,3,2,30,580,"$4,500"
512 St Clair,SC,32400,25,20,340,4700,"$69,000"
53 Steeles East,,28100,40,39,530,11200,"$80,900"
60 Steeles West ,,29800,35,34,440,8600,"$66,000"
"124 Sunnybrook and
162 Lawrence-Donway ",(2),4300,6,7,85,1300,"$12,100"
77 Swansea,,2600,3,2,40,630,"$5,700"
168 Symington,,7600,9,7,120,1800,"$16,800"
81 Thorncliffe Park,,7100,6,4,70,1300,"$10,300"
90 Vaughan,,6400,6,5,70,970,"$9,800"
24 Victoria Park andÂ 224 Victoria Park North,"(1)
(2)",23200,27,23,340,6700,"$50,500"
68 Warden,(1),14300,18,14,200,4200,"$30,400"
69 Warden South,,5400,4,3,65,1200,"$9,100"
55 Warren Park ,,1200,1,1,20,350,"$2,800"
94 Wellesley ,,9000,7,6,110,1400,"$14,800"
112 West Mall,,7900,13,10,160,3500,"$24,600"
89 Weston,,15100,15,11,190,3100,"$27,000"
165 Weston Rd North,(1),17600,21,16,300,6300,"$44,200"
98 Willowdale-Senlac ,,1900,4,4,60,1100,"$8,500"
96 Wilson,,24700,29,24,390,8600,"$59,500"
91 Woodbine,,5200,9,7,110,2100,"$16,400"
92 Woodbine South,,3400,3,3,40,610,"$5,700"
97 Yonge ,,3300,7,7,110,1900,"$15,900"
95 York Mills,,24700,40,25,420,9400,"$65,100"
106 York University ,,6600,9,6,100,2000,"$15,200"
196 York University Rocket,,20200,22,21,300,7600,"$47,800"
